review_text,rating,date,bank_name,source
"Db sup app is A platform or an application that can grasp more satisfactions through fastest mode of operation which means for budget planning, to use QR code(scan, pay, go) chat with staff, acc to acc other bank ft, merchant payment, and easly. I addition to i satisfied and i invite everyone to use those platform!!.",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
the chat banking and unique and only app that alow money request!!,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
Better and inclusive app!,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
Amazing Application,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
It keep my time to pay my bills and I generate my satment easily,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"It's an amazing app that is up-to-date with the times, wow wow",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
A game-changing Ethiopian innovation—where shopping meets opportunity. The marketplace feature connects buyers and sellers like never before.,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Dashen Super App isn’t just an app — it’s an experience. Effortless, powerful, and built for the future",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"This Is An Amazing App with Uniqe Quality,Easy And Fast Mobile Banking App.",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Dashen SuperApp is a lifesaver! Banking, shopping, and bills in one super easy app. The new e-commerce feature is awesome and supports local merchants. Fast, secure, and proudly Ethiopian.Download it now—you won’t regret it!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Dashen SuperApp blends finance, shopping, and daily services effortlessly. The new e-commerce feature is smooth and supports local merchants—proud to back an Ethiopian-made solution!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"A solid step forward by Dashen Bank. The SuperApp combines essential banking features with lifestyle services, making everything accessible in one place. The interface is smooth, and transactions are quick and reliable. It’s clear a lot of thought went into the design and functionality. Great job!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
Dashen bank super app is the crucial and convenient app in Ethiopia. there is no other app to compare with Dashen bank super app,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
